Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
287	-0.1733	14.0918	0.08335	10.953	11.645	12.072	12.306	12.677	12.934	13.325	14.092	14.911	15.373	15.696	16.189	16.519	17.164	18.34
288	-0.1733	14.0937	0.08335	10.954	11.647	12.074	12.308	12.678	12.936	13.327	14.094	14.913	15.375	15.698	16.191	16.521	17.167	18.343
289	-0.1733	14.0955	0.08334	10.956	11.648	12.076	12.31	12.68	12.937	13.329	14.096	14.915	15.377	15.7	16.193	16.523	17.168	18.344
290	-0.1733	14.0973	0.08334	10.958	11.65	12.077	12.311	12.682	12.939	13.33	14.097	14.917	15.379	15.702	16.195	16.525	17.171	18.347
291	-0.1733	14.0991	0.08333	10.959	11.652	12.079	12.313	12.683	12.941	13.332	14.099	14.918	15.381	15.704	16.197	16.527	17.172	18.348
292	-0.1733	14.1008	0.08333	10.961	11.653	12.081	12.314	12.685	12.942	13.334	14.101	14.92	15.383	15.706	16.199	16.529	17.174	18.351
293	-0.1733	14.1026	0.08332	10.962	11.655	12.082	12.316	12.687	12.944	13.336	14.103	14.922	15.385	15.708	16.201	16.531	17.176	18.352
294	-0.1733	14.1043	0.08332	10.964	11.656	12.084	12.318	12.688	12.946	13.337	14.104	14.924	15.386	15.709	16.203	16.533	17.178	18.355
295	-0.1733	14.1061	0.08331	10.965	11.658	12.086	12.319	12.69	12.947	13.339	14.106	14.926	15.388	15.711	16.205	16.535	17.18	18.356
296	-0.1733	14.1078	0.08331	10.967	11.659	12.087	12.321	12.692	12.949	13.341	14.108	14.927	15.39	15.713	16.207	16.537	17.182	18.359
297	-0.1733	14.1095	0.0833	10.968	11.661	12.089	12.323	12.693	12.951	13.342	14.11	14.929	15.392	15.715	16.208	16.538	17.184	18.36
298	-0.1733	14.1112	0.08329	10.97	11.663	12.09	12.324	12.695	12.952	13.344	14.111	14.931	15.394	15.716	16.21	16.54	17.185	18.362
