Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
244	0.2174	14.4604	0.0765	11.344	12.06	12.494	12.728	13.096	13.349	13.729	14.46	15.222	15.643	15.933	16.372	16.661	17.219	18.209
245	0.2166	14.4628	0.07651	11.346	12.062	12.496	12.73	13.098	13.351	13.731	14.463	15.224	15.646	15.936	16.375	16.665	17.223	18.213
246	0.2157	14.4653	0.07652	11.348	12.064	12.498	12.732	13.1	13.353	13.734	14.465	15.227	15.649	15.939	16.378	16.668	17.226	18.218
247	0.2148	14.4677	0.07652	11.35	12.066	12.5	12.735	13.103	13.355	13.736	14.468	15.23	15.651	15.942	16.381	16.671	17.229	18.221
248	0.214	14.4702	0.07653	11.352	12.068	12.502	12.737	13.105	13.358	13.738	14.47	15.232	15.654	15.945	16.384	16.674	17.233	18.225
249	0.2131	14.4725	0.07653	11.354	12.07	12.504	12.739	13.107	13.36	13.74	14.473	15.235	15.657	15.948	16.387	16.677	17.236	18.228
250	0.2123	14.4749	0.07654	11.356	12.072	12.506	12.741	13.109	13.362	13.743	14.475	15.238	15.66	15.951	16.39	16.68	17.239	18.232
251	0.2114	14.4772	0.07654	11.358	12.074	12.508	12.743	13.111	13.364	13.745	14.477	15.24	15.662	15.953	16.393	16.683	17.242	18.236
252	0.2106	14.4795	0.07655	11.36	12.076	12.51	12.745	13.113	13.366	13.747	14.48	15.242	15.665	15.956	16.395	16.686	17.246	18.239
253	0.2097	14.4818	0.07655	11.362	12.078	12.512	12.747	13.115	13.368	13.749	14.482	15.245	15.667	15.959	16.398	16.689	17.249	18.243
254	0.2089	14.4841	0.07656	11.364	12.08	12.514	12.749	13.117	13.37	13.751	14.484	15.247	15.67	15.961	16.401	16.692	17.252	18.247
255	0.2081	14.4863	0.07656	11.366	12.082	12.516	12.751	13.119	13.372	13.753	14.486	15.25	15.672	15.964	16.404	16.695	17.255	18.25
256	0.2072	14.4885	0.07657	11.367	12.084	12.518	12.753	13.121	13.374	13.755	14.489	15.252	15.675	15.967	16.407	16.698	17.258	18.253
257	0.2064	14.4907	0.07657	11.369	12.086	12.52	12.755	13.123	13.376	13.758	14.491	15.255	15.677	15.969	16.409	16.7	17.261	18.257
258	0.2056	14.4929	0.07658	11.371	12.087	12.522	12.756	13.125	13.378	13.76	14.493	15.257	15.68	15.972	16.412	16.703	17.264	18.26
259	0.2047	14.495	0.07658	11.373	12.089	12.523	12.758	13.127	13.38	13.762	14.495	15.259	15.682	15.974	16.415	16.706	17.267	18.263
260	0.2039	14.4971	0.07659	11.374	12.091	12.525	12.76	13.129	13.382	13.763	14.497	15.262	15.685	15.977	16.417	16.709	17.27	18.267
261	0.2031	14.4992	0.07659	11.376	12.093	12.527	12.762	13.131	13.384	13.765	14.499	15.264	15.687	15.979	16.42	16.711	17.273	18.27
262	0.2022	14.5013	0.0766	11.378	12.094	12.529	12.764	13.132	13.386	13.767	14.501	15.266	15.69	15.982	16.423	16.714	17.276	18.274
263	0.2014	14.5034	0.0766	11.38	12.096	12.531	12.766	13.134	13.388	13.769	14.503	15.268	15.692	15.984	16.425	16.717	17.278	18.277
264	0.2006	14.5054	0.07661	11.381	12.098	12.532	12.767	13.136	13.39	13.771	14.505	15.271	15.694	15.987	16.428	16.719	17.281	18.28
265	0.1998	14.5074	0.07661	11.383	12.1	12.534	12.769	13.138	13.392	13.773	14.507	15.273	15.696	15.989	16.43	16.722	17.284	18.283
266	0.199	14.5094	0.07662	11.385	12.101	12.536	12.771	13.14	13.393	13.775	14.509	15.275	15.699	15.991	16.433	16.725	17.287	18.286
267	0.1981	14.5114	0.07662	11.386	12.103	12.538	12.773	13.141	13.395	13.777	14.511	15.277	15.701	15.994	16.435	16.727	17.29	18.289
268	0.1973	14.5133	0.07663	11.388	12.105	12.539	12.774	13.143	13.397	13.779	14.513	15.279	15.703	15.996	16.438	16.73	17.292	18.293
